479,196
216,102
417,88
374,85
27,74
126,71
405,53
490,53
88,52
5,51
413,48
365,44
211,43
477,42
139,41
54,41
258,40
483,40
437,38
174,37
472,37
208,35
229,34
24,34
300,34
63,34
121,33
30,33
474,33
403,32
450,32
92,32
103,31
243,31
244,31
269,31
195,30
189,29
380,29
135,28
66,28
186,27
289,27
375,27
98,27
25,26
305,26
354,26
404,26
106,25
395,25
570,25
93,25
285,24
478,24
567,24
456,23
587,23
242,22
353,22
363,22
475,22
67,22
90,22
255,21
256,21
448,21
455,21
468,21
47,21
364,20
408,20
119,19
120,19
201,19
202,19
275,19
293,19
406,19
420,19
107,18
130,18
193,18
204,18
218,18
304,18
32,18
589,18
97,18
105,17
161,17
164,17
194,17
350,17
485,17
572,17
12,16
187,16
237,16
459,16
571,16
581,16
73,16
127,15
151,15
205,15
263,15
292,15
3,15
379,15
409,15
411,15
438,15
449,15
245,14
253,14
29,14
341,14
469,14
74,14
91,14
147,13
288,13
471,13
590,13
129,12
265,12
352,12
476,12
49,12
53,12
575,12
588,12
113,11
276,11
279,11
340,11
432,11
14,10
154,10
166,10
220,10
268,10
283,10
34,10
428,10
446,10
460,10
461,10
481,10
586,10
60,10
182,9
207,9
213,9
252,9
366,9
425,9
436,9
439,9
457,9
583,9
6,9
80,9
86,9
15,8
199,8
206,8
209,8
222,8
235,8
272,8
274,8
286,8
287,8
339,8
349,8
464,8
465,8
480,8
573,8
579,8
94,8
134,7
167,7
177,7
190,7
196,7
259,7
282,7
458,7
484,7
51,7
104,6
108,6
114,6
131,6
148,6
157,6
160,6
169,6
2,6
203,6
249,6
26,6
377,6
382,6
41,6
419,6
424,6
453,6
482,6
493,6
591,6
62,6
84,6
109,5
112,5
133,5
153,5
156,5
159,5
175,5
176,5
221,5
226,5
230,5
260,5
270,5
281,5
302,5
361,5
362,5
384,5
385,5
392,5
416,5
440,5
467,5
562,5
566,5
65,5
85,5
117,4
118,4
149,4
150,4
178,4
180,4
191,4
192,4
198,4
217,4
232,4
234,4
239,4
262,4
290,4
295,4
297,4
346,4
368,4
388,4
391,4
42,4
431,4
447,4
50,4
52,4
56,4
568,4
569,4
574,4
584,4
64,4
146,3
155,3
165,3
183,3
210,3
227,3
228,3
238,3
240,3
247,3
257,3
277,3
278,3
284,3
296,3
306,3
343,3
359,3
369,3
373,3
376,3
38,3
389,3
394,3
410,3
418,3
433,3
466,3
48,3
492,3
494,3
495,3
576,3
578,3
580,3
9,3
10,2
13,2
152,2
163,2
179,2
181,2
215,2
233,2
248,2
291,2
298,2
303,2
33,2
342,2
348,2
351,2
378,2
386,2
393,2
4,2
44,2
441,2
445,2
45,2
452,2
454,2
470,2
486,2
491,2
524,2
531,2
551,2
565,2
59,2
61,2
7,2
82,2
83,2
87,2
89,2
95,2
96,2
101,1
128,1
144,1
162,1
173,1
200,1
224,1
231,1
250,1
254,1
264,1
267,1
273,1
280,1
299,1
345,1
355,1
370,1
387,1
390,1
407,1
423,1
426,1
463,1
473,1
488,1
497,1
499,1
500,1
504,1
507,1
511,1
513,1
518,1
522,1
523,1
526,1
540,1
55,1
559,1
560,1
582,1
585,1
592,1
99,1
